word,count
blue,13
stupid,13
bslvyl,13
reading,13
ago,13
talking,13
ass,13
ten,13
card,13
fri,13
yar,13
happiness,13
mayb,13
word,13
understand,13
gas,13
father,13
hungry,12
messages,12
cash,12
askd,12
uncle,12
contact,12
joy,12
bank,12
minute,12
xmas,12
semester,12
laptop,12
takes,12
swing,12
die,12
christmas,12
chance,12
ish,12
seen,12
couple,12
india,12
mins,12
supposed,12
either,12
park,12
listen,12
gym,12
game,12
darren,12
picking,12
ugh,12
knew,12
grins,12
gal,12
difficult,12
john,12
sexy,12
usf,11
date,11
comin,11
abiola,11
crave,11
gets,11
move,11
girls,11
checking,11
shower,11
hit,11
lovable,11
wine,11
safe,11
muz,11
bath,11
orchard,11
kate,11
exam,11
bcoz,11
wana,11
rest,11
lost,11
plans,11
small,11
met,11
asking,11
win,11
monday,11
confirm,11
join,11
blood,11
clean,11
paper,11
wonder,11
whenever,11
truth,11
feels,11
support,11
loved,11
slowly,11
crazy,10
nah,10
callertune,10
press,10
worried,10
hospital,10
wow,10
reached,10
download,10
loads,10
gave,10
sending,10
cost,10
pray,10
spend,10
frnd,10
bathe,10
study,10
deep,10
leaves,10
usual,10
tonite,10
somewhere,10
merry,10
figure,10
rakhesh,10
moment,10
woke,10
slow,10
rock,10
yep,10
voice,10
booked,10
different,10
water,10
less,10
hoping,10
across,10
kids,10
sound,10
drugs,10
sell,10
wishing,10
charge,10
poor,10
sort,10
otherwise,10
convey,10
nobody,10
hrs,10
write,10
doin,10
empty,10
police,10
copy,9
promise,9
seriously,9
knows,9
sick,9
catch,9
decide,9
saturday,9
situation,9
forever,9
short,9
song,9
lucky,9
rain,9
boss,9
buying,9
lazy,9
lect,9
staying,9
doesnt,9
especially,9
studying,9
trust,9
deal,9
dead,9
mrt,9
ive,9
lessons,9
goodnight,9
disturb,9
worries,9
fone,9
unless,9
somebody,9
accept,9
pete,9
texts,9
urself,9
weed,9
customer,9
news,9
none,9
via,9
cum,9
meh,9
near,9
rent,9
silent,9
train,9
noon,9
‰ûò,9
laugh,9
bold,9
seems,9
msgs,9
glad,9
eyes,9
possible,9
tampa,9
heard,9
hiya,9
visit,9
doctor,9
mon,9
mode,9
wondering,9
others,9
tht,9
reaching,9
moral,9
fact,9
congrats,9
excellent,9
red,9
thinkin,9
sitting,9
colleagues,9
sofa,9
anymore,8
months,8
mark,8
pizza,8
cheers,8
quick,8
nigeria,8
stand,8
spent,8
trouble,8
hurts,8
loves,8
planning,8
price,8
umma,8
wishes,8
weight,8
invited,8
apartment,8
bak,8
sometimes,8
dream,8
completely,8
net,8
slept,8
road,8
correct,8
lem,8
rose,8
coffee,8
normal,8
power,8
cake,8
fault,8
brings,8
facebook,8
fullonsms,8
funny,8
din,8
kinda,8
thru,8
style,8
line,8
opinion,8
realy,8
fingers,8
warm,8
workin,8
daddy,8
ends,8
valentine,8
alex,8
longer,8
tuesday,8
idea,8
add,8
library,8
slave,8
omg,8
gettin,8
training,8
iam,8
medical,8
nyt,8
movies,8
film,8
honey,8
frens,8
cover,8
south,8
ice,8
wednesday,8
mood,8
bugis,7
cine,7
request,7
naughty,7
sucks,7
tea,7
eating,7
ahead,7
liked,7
joke,7
wun,7
save,7
tickets,7
pleasure,7
men,7
cuz,7
computer,7
eatin,7
paying,7
bother,7
yijue,7
swt,7
persons,7
waste,7
hop,7
hell,7
log,7
experience,7
offer,7
towards,7
using,7
however,7
bucks,7
bill,7
past,7
appreciate,7
street,7
battery,7
kallis,7
showing,7
lover,7
sense,7
imagine,7
advance,7
yoga,7
interested,7
round,7
insurance,7
cold,7
forward,7
air,7
happening,7
mistake,7
giving,7
lift,7
urgent,7
tough,7
remove,7
depends,7
single,7
malaria,7
fat,7
rather,7
pass,7
omw,7
pics,7
gee,7
door,7
marriage,7
izzit,7
choose,7
present,7
imma,7
valentines,7
shuhui,7
weather,7
awake,7
torch,7
looks,7
sit,7
dey,7
order,7
holla,7
yest,7
gift,7
bag,7
ones,7
model,7
mother,7
hai,7
heavy,7
nxt,7
miracle,7
black,7
hot,7
tuition,7
complete,7
cell,7
dog,7
alrite,7
shd,7
luck,7
walking,7
meaning,7
players,7
share,7
instead,7
buzz,7
inside,7
sight,7
bedroom,7
holding,7
list,7
thnk,7
excuse,7
energy,7
including,7
vikky,7
surprise,7
tear,7
worse,7
cute,7
murdered,7
maid,7
murderer,7
happens,7
behind,7
planned,7
joking,6
melle,6
tyler,6
usually,6
double,6
rply,6
kano,6
don‰û÷t,6
changed,6
page,6
directly,6
qatar,6
turns,6
spoke,6
bye,6
joined,6
system,6
cal,6
childish,6
dint,6
ended,6
sunny,6
anybody,6
sign,6
track,6
return,6
report,6
wiv,6
num,6
posted,6
relax,6
pilates,6
putting,6
aathi,6
wnt,6
vry,6
lacs,6
ticket,6
askin,6
group,6
ttyl,6
fixed,6
character,6
tat,6
children,6
campus,6
lady,6
self,6
hurry,6
cheap,6
aiyo,6
barely,6
scream,6
indian,6
paid,6
earth,6
evng,6
fetch,6
ans,6
law,6
gap,6
wer,6
aftr,6
students,6
menu,6
running,6
exactly,6
top,6
closed,6
damn,6
wats,6
within,6
boo,6
teasing,6
surely,6
matter,6
version,6
midnight,6
sup,6
murder,6
teach,6
ate,6
wherever,6
expensive,6
kerala,6
loverboy,6
questions,6
serious,6
april,6
yrs,6
process,6
works,6
regards,6
aiyah,6
weeks,6
howz,6
raining,6
station,6
thts,6
marry,6
problems,6
yahoo,6
cafe,6
nature,6
keeping,6
except,6
internet,6
screaming,6
naked,6
theatre,6
ahmad,6
armand,6
nimya,6
role,6
checked,6
pussy,6
budget,6
random,6
plenty,6
cancer,6
feb,6
january,6
tick,6
meds,6
etc,6
callers,5
searching,5
thatåõs,5
i‰û÷m,5
stock,5
egg,5
learn,5
roommate,5
texting,5
hopefully,5
weak,5
ride,5
plane,5
respect,5
urgnt,5
sum,5
ave,5
boston,5
scared,5
entered,5
cabin,5
shirt,5
shows,5
become,5
fancy,5
discuss,5
transaction,5
match,5
draw,5
nights,5
sen,5
atm,5
died,5
argument,5
kick,5
website,5
fix,5
rays,5
update,5
cry,5
definitely,5
pongal,5
immediately,5
surfing,5
basically,5
allah,5
geeee,5
willing,5
sighs,5
body,5
guide,5
intro,5
pictures,5
starts,5
yan,5
jiu,5
hostel,5
receive,5
amt,5
dollars,5
acc,5
donåõt,5
gives,5
flat,5
sec,5
quality,5
credit,5
replied,5
fighting,5
spl,5
stylish,5
prabha,5
jst,5
returns,5
married,5
hotel,5
english,5
btw,5
mrw,5
smiles,5
quit,5
jazz,5
yogasana,5
stopped,5
somethin,5
forwarded,5
thursday,5
cartoon,5
gentle,5
starting,5
drug,5
belly,5
box,5
timing,5
mad,5
twice,5
opportunity,5
gals,5
tis,5
space,5
green,5
sura,5
playing,5
lead,5
unsold,5
derek,5
white,5
pissed,5
wear,5
places,5
recently,5
photos,5
site,5
boring,5
salary,5
dropped,5
yun,5
jesus,5
asleep,5
pic,5
interesting,5
uni,5
italian,5
horrible,5
moan,5
chinese,5
hun,5
cbe,5
secret,5
broke,5
area,5
extra,5
pple,5
arrested,5
moon,5
rem,5
exams,5
everybody,5
wed,5
fall,5
google,5
vomit,5
aint,5
centre,5
collect,5
waking,5
ran,5
fren,5
hook,5
social,5
buns,5
created,5
lookin,5
beer,5
hate,5
sim,5
mid,5
tried,5
nvm,5
moms,5
obviously,5
boost,5
loan,5
looked,5
expecting,5
miles,5
sed,5
minuts,5
latr,5
remind,5
age,5
whether,5
brilliant,5
cars,5
deliver,5
amount,5
advice,5
pin,5
cinema,5
asap,5
relation,5
lik,5
asks,5
common,5
oni,4
lives,4
oru,4
sooner,4
letter,4
inches,4
kept,4
embarassed,4
seemed,4
url,4
series,4
wah,4
machan,4
network,4
coins,4
becoz,4
appointment,4
legal,4
nyc,4
considering,4
jokes,4
research,4
needed,4
informed,4
yetunde,4
rooms,4
befor,4
activities,4
begin,4
deleted,4
interview,4
points,4
escape,4
bloody,4
worth,4
anyways,4
mummy,4
personal,4
settled,4
balance,4
straight,4
connection,4
shoot,4
selected,4
files,4
romantic,4
teaches,4
closer,4
theory,4
wins,4
argue,4
bcums,4
affection,4
kettoda,4
manda,4
expect,4
mmm,4
bay,4
passed,4
throw,4
accidentally,4
high,4
def,4
hanging,4
belovd,4
enemy,4
kisses,4
cud,4
ppl,4
waitin,4
todays,4
practice,4
sometime,4
cream,4
esplanade,4
fifteen,4
respond,4
arrange,4
gorgeous,4
ure,4
intelligent,4
woman,4
result,4
reasons,4
dry,4
jada,4
kusruthi,4
matured,4
bday,4
mas,4
passionate,4
quote,4
losing,4
confidence,4
three,4
cup,4
milk,4
i‰û÷ll,4
essential,4
lab,4
grand,4
pie,4
answers,4
colour,4
often,4
future,4
uncles,4
leona,4
bud,4
taken,4
listening,4
temple,4
church,4
bet,4
hella,4
envelope,4
prepare,4
explain,4
king,4
weird,4
drivin,4
height,4
upset,4
assume,4
anytime,4
spoken,4
meetin,4
apparently,4
smokes,4
dictionary,4
appt,4
hunny,4
ache,4
ages,4
meanwhile,4
spk,4
saved,4
due,4
pig,4
addicted,4
photo,4
registered,4
attend,4
diet,4
fever,4
gravity,4
carefully,4
bowl,4
decision,4
sore,4
regret,4
throat,4
lecture,4
raise,4
fool,4
technical,4
bitch,4
bathing,4
thinks,4
vijay,4
dem,4
fight,4
clock,4
hands,4
aiyar,4
wearing,4
shame,4
reference,4
understanding,4
strong,4
arms,4
mite,4
easier,4
songs,4
service,4
picked,4
exact,4
favour,4
february,4
rush,4
blackberry,4
moji,4
welcome,4
fill,4
gently,4
urn,4
vote,4
totally,4
aiya,4
bright,4
flower,4
birds,4
wonders,4
personality,4
purity,4
sha,4
file,4
ron,4
airport,4
yuo,4
tihs,4
bishan,4
preferably,4
sale,4
pack,4
idk,4
living,4
laughing,4
surprised,4
comedy,4
remain,4
queen,4
bin,4
iåõm,4
selling,4
atlanta,4
fills,4
gaps,4
takin,4
answering,4
jess,4
skype,4
masters,4
season,4
unlimited,4
cook,4
cleaning,4
cat,4
hip,4
infernal,4
orange,4
feet,4
password,4
kidz,4
pages,4
frndship,4
pix,4
notice,4
freak,4
letters,4
added,4
happend,4
sugar,4
thangam,4
roger,4
solve,4
cooking,4
link,4
spending,4
ignore,4
public,4
govt,4
instituitions,4
dare,4
numbers,4
teeth,4
handle,4
note,4
bought,4
celebrate,4
abi,4
hill,4
grl,4
hug,4
wylie,4
basic,4
outta,4
inform,4
mumtaz,4
blank,4
texted,4
information,4
born,4
babes,4
doc,4
boys,4
taunton,4
loss,4
step,4
minnaminunginte,3
nurungu,3
vettam,3
spell,3
wet,3
str,3
turn,3
frying,3
clear,3
child,3
caught,3
fear,3
xuhui,3
invite,3
yummy,3
fair,3
gram,3
runs,3
realized,3
roommates,3
dresser,3
valuable,3
gentleman,3
dignity,3
sheets,3
lido,3
ham,3
vava,3
loud,3
sentence,3
anythin,3
apologise,3
staff,3
birla,3
soft,3
floor,3
mall,3
maneesha,3
satisfied,3
toll,3
radio,3
finishes,3
suggest,3
successfully,3
teacher,3
loses,3
tomarrow,3
avent,3
touched,3
slippers,3
bat,3
innings,3
dearly,3
ranjith,3
shipping,3
wks,3
parked,3
flash,3
jealous,3
sorting,3
handed,3
gautham,3
buzy,3
tease,3
scary,3
meal,3
garage,3
keys,3
clos,3
lvblefrnd,3
jstfrnd,3
cutefrnd,3
lifpartnr,3
swtheart,3
bstfrnd,3
afraid,3
gona,3
record,3
supervisor,3
favourite,3
bless,3
stranger,3
cleared,3
gudnite,3
slap,3
alcohol,3
remembered,3
insha,3
alive,3
ptbo,3
tests,3
shut,3
current,3
period,3
business,3
quickly,3
chechi,3
tree,3
blah,3
ful,3
irritating,3
bmw,3
urgently,3
shortage,3
source,3
arng,3
iouri,3
sachin,3
oic,3
transfer,3
railway,3
doggy,3
fave,3
roads,3
transfered,3
banks,3
charges,3
wise,3
boye,3
fightng,3
dificult,3
fish,3
village,3
bringing,3
fees,3
latest,3
soryda,3
sory,3
behave,3
elsewhere,3
ummmmmaah,3
tirupur,3
generally,3
it‰û÷s,3
that‰û÷s,3
likely,3
american,3
callin,3
snake,3
bite,3
headache,3
exhausted,3
swimming,3
drinks,3
market,3
pop,3
seven,3
thanksgiving,3
we‰û÷re,3
music,3
peace,3
lonely,3
building,3
map,3
farm,3
stress,3
faster,3
shouted,3
shorter,3
ladies,3
gim,3
anywhere,3
row,3
sing,3
diff,3
bein,3
jan,3
pieces,3
hint,3
hahaha,3
brain,3
successful,3
morrow,3
xavier,3
seconds,3
stomach,3
returned,3
walls,3
cuddle,3
nap,3
shesil,3
wanting,3
outstanding,3
taylor,3
greet,3
msging,3
moments,3
magical,3
welp,3
chicken,3
talent,3
fuckin,3
ubi,3
wkg,3
butt,3
terrible,3
exe,3
prey,3
weekends,3
foreign,3
stamps,3
country,3
flirt,3
speechless,3
roast,3
concentrate,3
career,3
walked,3
june,3
drunk,3
networking,3
travel,3
juicy,3
dearer,3
evn,3
itz,3
alwys,3
ground,3
cancel,3
catching,3
falls,3
whos,3
fantastic,3
bigger,3
credited,3
walmart,3
score,3
apps,3
anti,3
morn,3
docs,3
rang,3
sorted,3
executive,3
express,3
tour,3
fran,3
knackered,3
software,3
idiot,3
whenevr,3
chill,3
chillin,3
super,3
chain,3
suntec,3
seem,3
messenger,3
screen,3
storming,3
phne,3
margaret,3
girlfrnd,3
grahmbell,3
invnted,3
telphone,3
popped,3
shld,3
enter,3
caring,3
option,3
goodnite,3
tells,3
currently,3
painful,3
missin,3
guilty,3
cardiff,3
addie,3
certainly,3
twelve,3
aah,3
blake,3
total,3
eight,3
ese,3
prospects,3
buff,3
gang,3
tablets,3
finishing,3
doors,3
brothas,3
force,3
perfect,3
blame,3
blessings,3
freezing,3
darling,3
winning,3
ideas,3
maintain,3
cramps,3
nan,3
likes,3
dislikes,3
promises,3
album,3
standing,3
stuck,3
regarding,3
adore,3
arun,3
philosophy,3
dirty,3
package,3
husband,3
player,3
five,3
toa,3
payoh,3
team,3
fathima,3
mmmm,3
beyond,3
table,3
ikea,3
kadeem,3
wud,3
carry,3
avatar,3
stops,3
constantly,3
lousy,3
honeybee,3
sweetest,3
laughed,3
havnt,3
crack,3
gm+gn+ge+gn,3
boat,3
proof,3
major,3
birth,3
rule,3
natural,3
onwards,3
eggs,3
lie,3
simply,3
store,3
calicut,3
giv,3
normally,3
rich,3
yor,3
jason,3
art,3
argh,3
tessy,3
favor,3
shijas,3
aunty,3
china,3
morphine,3
prefer,3
kindly,3
pending,3
raji,3
legs,3
pleased,3
distance,3
temp,3
display,3
soup,3
management,3
threats,3
unable,3
wkend,3
journey,3
bags,3
issue,3
measure,3
thm,3
drinking,3
impossible,3
responce,3
vodka,3
okey,3
questioned,3
gardener,3
vegetables,3
neighbour,3
science,3
madam,3
settle,3
bloo,3
indians,3
citizen,3
key,3
greetings,3
released,3
maga,3
medicine,3
incident,3
violence,3
erm,3
issues,3
death,3
wrk,3
usc,3
booty,3
lil,3
remains,3
bro,3
bros,3
pouts,3
stomps,3
shirts,3
petrol,3
middle,3
enuff,3
contents,3
strike,3
moved,3
seat,3
dress,3
collecting,3
flaked,3
gary,3
cheaper,3
history,3
bell,3
understood,3
bottom,3
crab,3
footprints,3
changes,3
books,3
knowing,3
thurs,3
tape,3
lick,3
auto,3
praying,3
smoking,3
amazing,3
ths,3
wisdom,3
cann,3
camera,3
prolly,3
confirmed,3
dubsack,3
macho,3
audition,3
fell,3
senthil,3
forevr,3
nokia,3
eaten,3
possession,3
affairs,3
along,3
university,3
california,3
value,3
tog,3
evry,3
haiz,3
captain,3
dsn,3
bottle,3
buffet,2
hor,2
blessing,2
slice,2
convincing,2
sarcastic,2
mmmmmm,2
hospitals,2
eighth,2
odi,2
killing,2
dedicated,2
dedicate,2
shy,2
earn,2
jacket,2
requests,2
nitros,2
ela,2
pours,2
telugu,2
hols,2
four,2
location,2
truly,2
noun,2
puttin,2
goodo,2
potato,2
tortilla,2
msn,2
pouch,2
somtimes,2
occupy,2
hearts,2
flowing,2
plaza,2
everywhere,2
windows,2
mouth,2
module,2
avoid,2
beloved,2
form,2
clark,2
utter,2
completed,2
stays,2
wishin,2
hamster,2
refilled,2
inr,2
keralacircle,2
prepaid,2
ericsson,2
bruv,2
rewarding,2
heading,2
installing,2
repair,2
conducts,2
printed,2
upstairs,2
final,2
shining,2
signing,2
although,2
commercial,2
drpd,2
deeraj,2
deepak,2
lag,2
necessarily,2
headin,2
jolt,2
mini,2
tool,2
jenny,2
cam,2
grave,2
shocking,2
crash,2
taxi,2
actor,2
thread,2
unique,2
tahan,2
anot,2
buses,2
bristol,2
flight,2
women,2
apo,2
violated,2
paperwork,2
caroline,2
misbehaved,2
tissco,2
tayseer,2
unemployed,2
audrey,2
status,2
breathe,2
cuddling,2
agree,2
recognise,2
hes,2
ovulation,2
licks,2
picture,2
salam,2
sharing,2
grace,2
inshah,2
field,2
administrator,2
shipped,2
loxahatchee,2
burning,2
slightly,2
darlings,2
wld,2
sender,2
skip,2
whatsup,2
siva,2
speaking,2
expression,2
applebees,2
bhaji,2
cricketer,2
improve,2
oreo,2
truffles,2
decisions,2
coping,2
individual,2
receiving,2
position,2
language,2
screamed,2
rate,2
differ,2
broken,2
infront,2
tension,2
taste,2
trade,2
center,2
hyde,2
anthony,2
scrounge,2
forgiven,2
competition,2
transport,2
definite,2
booking,2
ebay,2
pickle,2
tacos,2
develop,2
ability,2
recovery,2
cali,2
bloke,2
cutting,2
cock,2
reminding,2
owns,2
faggy,2
demand,2
loose,2
pan,2
perhaps,2
mei,2
geeeee,2
jen,2
oooh,2
dick,2
dancing,2
scotland,2
hardly,2
tsunamis,2
ques,2
suits,2
reaction,2
grow,2
useful,2
officially,2
pounds,2
hundred,2
sweetheart,2
biola,2
login,2
effects,2
wee,2
trains,2
jolly,2
panic,2
dealer,2
impatient,2
river,2
lays,2
yelling,2
hex,2
cochin,2
accordingly,2
poop,2
gpu,2
aeronautics,2
professors,2
calld,2
aeroplane,2
hurried,2
dorm,2
membership,2
cookies,2
admit,2
correction,2
spring,2
attached,2
gist,2
lip,2
confused,2
spare,2
faith,2
schools,2
inch,2
begging,2
opening,2
enjoyed,2
thot,2
petey,2
nic,2
imp,2
bec,2
nervous,2
borrow,2
galileo,2
dobby,2
responding,2
loveme,2
xxxx,2
cappuccino,2
mojibiola,2
havenåõt,2
skyped,2
given,2
ultimatum,2
countin,2
aburo,2
inconsiderate,2
nag,2
recession,2
hence,2
soo,2
suite,2
warning,2
shoes,2
careful,2
named,2
genius,2
connections,2
lotta,2
lately,2
consider,2
peaceful,2
castor,2
ear,2
oil,2
mac,2
usb,2
gibbs,2
failed,2
unbelievable,2
several,2
worst,2
charles,2
stores,2
sweets,2
chip,2
yck,2
ashley,2
term,2
jeans,2
bleh,2
application,2
brand,2
simpler,2
necklace,2
racing,2
rice,2
closes,2
crap,2
chocolate,2
potential,2
reckon,2
tech,2
blessed,2
quiet,2
aunts,2
fit,2
fan,2
lovers,2
drove,2
anniversary,2
pen,2
pattern,2
plm,2
sheffield,2
morow,2
setting,2
filling,2
thx,2
edison,2
rightly,2
viva,2
educational,2
sells,2
thesis,2
sends,2
female,2
deciding,2
prepared,2
gossip,2
thoughts,2
craziest,2
planet,2
singing,2
curry,2
goto,2
tomorro,2
fret,2
depressed,2
wind,2
math,2
dhoni,2
rocks,2
durban,2
gay,2
difficulties,2
sar,2
tank,2
silently,2
drms,2
toot,2
annoying,2
makin,2
neft,2
beneficiary,2
appreciated,2
apart,2
creepy,2
apply,2
invest,2
delay,2
purse,2
havin,2
flip,2
accounts,2
weirdest,2
tee,2
dough,2
control,2
jerry,2
irritates,2
fails,2
drinkin,2
birthdate,2
nydc,2
daily,2
ola,2
garbage,2
jokin,2
remembr,2
canada,2
cares,2
goodnoon,2
patty,2
interest,2
theres,2
tmrw,2
soul,2
ned,2
hurting,2
main,2
sweetie,2
whn,2
dance,2
bar,2
juan,2
tlk,2
ideal,2
front,2
arm,2
shot,2
tirunelvali,2
effect,2
kidding,2
stretch,2
sinco,2
payee,2
icicibank,2
beware,2
frauds,2
disclose,2
kaiez,2
practicing,2
babies,2
beneath,2
pale,2
silver,2
silence,2
revision,2
exeter,2
coat,2
tues,2
restaurant,2
desperate,2
monkeys,2
practical,2
replying,2
mails,2
lyfu,2
lyf,2
ali,2
program,2
meow,2
modules,2
musthu,2
video,2
testing,2
nit,2
sarcasm,2
forum,2
aunt,2
receipt,2
unfortunately,2
konw,2
waht,2
rael,2
gving,2
exmpel,2
jsut,2
evrey,2
splleing,2
wrnog,2
sitll,2
raed,2
wihtuot,2
ayn,2
mitsake,2
joining,2
finance,2
filled,2
jia,2
sux,2
kegger,2
costs,2
rhythm,2
adventure,2
sub,2
wifi,2
rumour,2
boyfriend,2
driver,2
chasing,2
kicks,2
dime,2
falling,2
smeone,2
fire,2
flame,2
propose,2
gods,2
dippeditinadew,2
lovingly,2
itwhichturnedinto,2
gifted,2
tomeandsaid,2
batch,2
app,2
flaky,2
sooooo,2
tooo,2
confuses,2
wating,2
adoring,2
brought,2
constant,2
cared,2
switch,2
fly,2
event,2
partnership,2
mostly,2
jas,2
poker,2
messy,2
traffic,2
moves,2
slip,2
nus,2
keeps,2
gotten,2
unknown,2
stick,2
indeed,2
james,2
maangalyam,2
alaipayuthe,2
calm,2
becomes,2
habit,2
schedule,2
contacts,2
forgets,2
mandan,2
recharge,2
transfr,2
didnåõt,2
desparate,2
fake,2
combine,2
sian,2
received,2
access,2
joanna,2
replacement,2
telly,2
wipro,2
delete,2
laundry,2
underwear,2
connect,2
waheed,2
pushes,2
nichols,2
avoiding,2
heads,2
vday,2
build,2
snowman,2
fights,2
ofice,2
prescription,2
electricity,2
fujitsu,2
scold,2
disturbing,2
flies,2
woken,2
aka,2
jane,2
delhi,2
fringe,2
distract,2
mel,2
choice,2
responsibility,2
kid,2
affair,2
parco,2
hallaq,2
pink,2
lyk,2
bck,2
color,2
sleepwell,2
mca,2
vomiting,2
rub,2
clever,2
ryan,2
xam,2
manage,2
shitload,2
diamonds,2
mcat,2
sacrifice,2
stayin,2
cld,2
wales,2
killed,2
london,2
speed,2
played,2
tok,2
specific,2
figures,2
cousin,2
excuses,2
neck,2
continue,2
holy,2
billion,2
classes,2
youre,2
turning,2
belive,2
slots,2
discussed,2
comp,2
spoiled,2
sales,2
complaint,2
lounge,2
lov,2
exciting,2
bedrm,2
waited,2
huge,2
mids,2
annie,2
hrishi,2
nothin,2
poem,2
cheer,2
regular,2
nahi,2
zindgi,2
dan,2
aww,2
nearly,2
staring,2
unnecessarily,2
weigh,2
tom,2
propsd,2
lttrs,2
threw,2
aproach,2
truck,2
speeding,2
instantly,2
thy,2
lived,2
happily,2
gthr,2
evrydy,2
paragon,2
arent,2
bluff,2
sary,2
www,2
realize,2
piece,2
wiskey,2
brandy,2
rum,2
gin,2
scotch,2
shampain,2
kudi,2
yarasu,2
dhina,2
vaazhthukkal,2
dumb,2
dressed,2
kills,2
kay,2
wasted,2
christ,2
push,2
answered,2
swiss,2
crore,2
jobs,2
lane,2
monthly,2
politicians,2
rights,2
donno,2
stars,2
properly,2
furniture,2
lock,2
shoving,2
papers,2
strange,2
upto,2
indyarocks,2
resume,2
direct,2
whr,2
yunny,2
mmmmm,2
relatives,2
environment,2
terrific,2
superior,2
ruin,2
contract,2
department,2
conform,2
member,2
toshiba,2
sam,2
innocent,2
mental,2
hoped,2
bills,2
marrow,2
hon,2
treated,2
fab,2
tiwary,2
